offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
47946,0xBB4A,102,branch_candidate,jump_le,3,66 03 6E,878,48827
47984,0xBB70,99,branch_candidate,jump_false,3,63 00 A8,168,48155
48001,0xBB81,105,branch_candidate,jump_gt,3,69 00 63,99,48103
48036,0xBBA4,99,branch_candidate,jump_false,3,63 00 37,55,48094
48100,0xBBE4,98,branch_candidate,unconditional_jump,3,62 FF 96,-106,47997
48106,0xBBEA,100,branch_candidate,jump_ne,3,64 00 2B,43,48152
48152,0xBC18,98,branch_candidate,unconditional_jump,3,62 02 9D,669,48824
48168,0xBC28,99,branch_candidate,jump_false,3,63 00 EC,236,48407
48188,0xBC3C,105,branch_candidate,jump_gt,3,69 00 A4,164,48355
48225,0xBC61,99,branch_candidate,jump_false,3,63 00 76,118,48346
48289,0xBCA1,99,branch_candidate,jump_false,3,63 00 1F,31,48323
48320,0xBCC0,98,branch_candidate,unconditional_jump,3,62 00 14,20,48343
48352,0xBCE0,98,branch_candidate,unconditional_jump,3,62 FF 55,-171,48184
48358,0xBCE6,100,branch_candidate,jump_ne,3,64 00 2B,43,48404
48404,0xBD14,98,branch_candidate,unconditional_jump,3,62 01 A1,417,48824
48420,0xBD24,99,branch_candidate,jump_false,3,63 00 D0,208,48631
48438,0xBD36,105,branch_candidate,jump_gt,3,69 00 86,134,48575
48455,0xBD47,83,call_candidate,call2,3,53 A7 0A,-22774,25684
48469,0xBD55,99,branch_candidate,jump_false,3,63 00 5E,94,48566
48529,0xBD91,102,branch_candidate,jump_le,3,66 00 1B,27,48559
48539,0xBD9B,105,branch_candidate,jump_gt,3,69 00 09,9,48551
48548,0xBDA4,98,branch_candidate,unconditional_jump,3,62 FF F0,-16,48535
48556,0xBDAC,98,branch_candidate,unconditional_jump,3,62 00 04,4,48563
48572,0xBDBC,98,branch_candidate,unconditional_jump,3,62 FF 71,-143,48432
48578,0xBDC2,100,branch_candidate,jump_ne,3,64 00 2F,47,48628
48628,0xBDF4,98,branch_candidate,unconditional_jump,3,62 00 C1,193,48824
48666,0xBE1A,99,branch_candidate,jump_false,3,63 00 58,88,48757
48678,0xBE26,105,branch_candidate,jump_gt,3,69 00 19,25,48706
48703,0xBE3F,98,branch_candidate,unconditional_jump,3,62 FF DE,-34,48672
48754,0xBE72,98,branch_candidate,unconditional_jump,3,62 00 43,67,48824
