# Code RED source/decompiled export
# Source: data/codered/faction_wars_actionable_targets.csv
# SHA1: f9589931db8580f41f04991eaa17756ee6bc5941

actionable_score,score,category,path,source_kind,regions,groups,high_value_terms,size
730,705,archive patch lane,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__Code_RED_Car_Truck_FBI_Pass26_RESEARCH__reports__fbi_car_truck_raw_hits.csv.decompiled_source.txt,manifest/text,,scripting:496|spawning:174|weapons_pressure:2|world_hosts:33,,80046
727,652,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wsi_annotation_candidate_hosts.csv.decompiled_source.txt,manifest/text,blackwater,spawning:92|world_hosts:555,,38136
724,649,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_annotation_candidate_hosts.csv,repo/text,blackwater,spawning:92|world_hosts:552,,37857
716,466,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/tools__codered_faction_wars_pipeline.py.decompiled_source.txt,manifest/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:59|scripting:45|spawning:55|war_behavior:22|weapons_pressure:21|world_hosts:52,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,19542
715,465,tune/template pressure,tools/codered_faction_wars_pipeline.py,repo/text,armadillo|blackwater|chuparosa|escalera|fort mercer|gaptooth|henningan|landing|macfarlane|manzanita|mexico|new austin|nuevo paraiso|plainview|rathskeller|ridgewood|rio bravo|tall trees|thieves|tumbleweed,factions:58|scripting:45|spawning:55|war_behavior:22|weapons_pressure:21|world_hosts:52,ai_is_hostile|commongringos|create_actor|get_actor_faction|gringobrain|population|refgroup|set_actor_faction|streaming_request_actor|task_follow|task_kill|task_stand|task_wander|vehicle_generator,18928
636,561,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wsi_keyword_string_hits.csv.decompiled_source.txt,manifest/text,blackwater,world_hosts:556,,82497
633,558,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_keyword_string_hits.csv,repo/text,blackwater,world_hosts:553,,82046
602,452,tune/template pressure,research/CodeRED_Project_Research_Master_Chat_Source_2026-04-29.md,repo/text,blackwater,factions:4|scripting:58|spawning:42|war_behavior:6|weapons_pressure:12|world_hosts:293,commongringos|gringobrain|refgroup|vehicle_generator,28857
602,452,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRED_Project_Research_Master_Chat_Source_2026-04-29.md.decompiled_source.txt,manifest/text,blackwater,factions:4|scripting:58|spawning:42|war_behavior:6|weapons_pressure:12|world_hosts:293,commongringos|gringobrain|refgroup|vehicle_generator,30208
567,467,tune/template pressure,research/IMPORTANT_readable_root_index_2026-05-02/ai_readable_root_index.md,repo/text,,factions:122|scripting:45|spawning:163|war_behavior:38|weapons_pressure:3|world_hosts:80,population|task_follow,18657
567,467,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__IMPORTANT_readable_root_index_2026-05-02__ai_readable_root_index.md.decompiled_source.txt,manifest/text,,factions:122|scripting:45|spawning:163|war_behavior:38|weapons_pressure:3|world_hosts:80,population|task_follow,18961
494,419,world host / gringo,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__blackwater_wsi_gringo_correlation_outputs__wsi_gringo_annotation_hosts.csv.decompiled_source.txt,manifest/text,blackwater,spawning:99|world_hosts:315,,31756
490,415,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wsi_gringo_annotation_hosts.csv,repo/text,blackwater,spawning:99|world_hosts:311,,31473
423,273,tune/template pressure,related_apps/CodeRED_Script_Workshop/workspace/decompiled_export/research__CodeRed_Refgroup_Parent_File_Findings_Pass12.txt.decompiled_source.txt,manifest/text,blackwater|mexico,factions:5|scripting:1|spawning:110|war_behavior:17|weapons_pressure:33|world_hosts:81,population|refgroup,10615
422,272,tune/template pressure,research/CodeRed_Refgroup_Parent_File_Findings_Pass12.txt,repo/text,blackwater|mexico,factions:5|scripting:1|spawning:109|war_behavior:17|weapons_pressure:33|world_hosts:81,population|refgroup,10248
395,295,tune/template pressure,research/car_truck_inventory/car_truck_inventory.json,repo/text,,factions:6|scripting:55|spawning:22|weapons_pressure:10|world_hosts:186,gringobrain|vehicle_generator,159932
