index,path,raw_size,rsc,resource_type,codec,decoded_size,decode_error,score,reasons
577,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0x1FA33334,19418,True,2,zstd,53248,,308,
578,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0x7F3A502A,20235,True,2,zstd,53248,,319,
579,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0xDA5F9E79,20163,False,,,,,108,
580,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0xF141FF84,19343,True,2,zstd,45056,,386,u16be:1194:2
581,root\content\release64\dlc\0x22398628\0x93896EB6\0xF52DBBF5\0xFE026A11,19116,False,,,,,88,
582,root\content\release64\dlc\0x22398628\0x93896EB6\false\0x14707BDC,15086,True,2,zstd,36864,,290,
583,root\content\release64\dlc\0x22398628\0x93896EB6\false\0xDE1D72DF,15629,False,,,,,143,u16le:1194:1
584,root\content\release64\dlc\0x22398628\0xC5C07009\0x0511F895,15504,True,2,zstd,36864,,223,
585,root\content\release64\dlc\0x22398628\0xC5C07009\0x0EB0F31A,16510,False,,,,,172,u16le:1194:1
586,root\content\release64\dlc\0x22398628\0xC5C07009\0x11F14F02,15964,True,2,zstd,36864,,260,
587,root\content\release64\dlc\0x22398628\0xC5C07009\0x1AEA6E4E,15747,True,2,zstd,36864,,343,u16be:1193:1;u16be:1194:1
588,root\content\release64\dlc\0x22398628\0xC5C07009\0x23016827,34980,True,2,zstd,86016,,554,u16be:1193:2;u16be:1194:7
589,root\content\release64\dlc\0x22398628\0xC5C07009\0x2BCDFFBE,14775,False,,,,,155,u16be:1194:2
590,root\content\release64\dlc\0x22398628\0xC5C07009\0x2E798444,15958,False,,,,,131,u16le:1194:1
591,root\content\release64\dlc\0x22398628\0xC5C07009\0x392E9EC3,16337,False,,,,,75,
592,root\content\release64\dlc\0x22398628\0xC5C07009\0x3A6E6B5A,16242,False,,,,,206,u16be:1193:1;u16le:1194:2
593,root\content\release64\dlc\0x22398628\0xC5C07009\0x3AF7D454,15941,True,2,zstd,36864,,252,
594,root\content\release64\dlc\0x22398628\0xC5C07009\0x493B1A4A,19194,True,2,zstd,45056,,260,
595,root\content\release64\dlc\0x22398628\0xC5C07009\0x49EB2C2B,18895,False,,,,,209,u16be:1194:1;u16be:1193:1
596,root\content\release64\dlc\0x22398628\0xC5C07009\0x4BF8EA71,15533,True,2,zstd,36864,,236,
597,root\content\release64\dlc\0x22398628\0xC5C07009\0x4DD75663,19020,False,,,,,154,u16be:1193:1
598,root\content\release64\dlc\0x22398628\0xC5C07009\0x507DD568,18466,False,,,,,155,u16be:1193:1
599,root\content\release64\dlc\0x22398628\0xC5C07009\0x57AB4A94,15370,True,2,zstd,36864,,238,
600,root\content\release64\dlc\0x22398628\0xC5C07009\0x5E36A328,14269,True,2,zstd,36864,,275,
601,root\content\release64\dlc\0x22398628\0xC5C07009\0x5E7EAB60,4558,True,2,zstd,20480,,93,
602,root\content\release64\dlc\0x22398628\0xC5C07009\0x60014CEA,30403,True,2,zstd,73728,,306,
603,root\content\release64\dlc\0x22398628\0xC5C07009\0x76592BD7,22459,True,2,zstd,53248,,377,u16be:1193:1
604,root\content\release64\dlc\0x22398628\0xC5C07009\0x8AA4025C,15016,True,2,zstd,36864,,245,
605,root\content\release64\dlc\0x22398628\0xC5C07009\0x8B3023B3,4620,False,,,,,4,
606,root\content\release64\dlc\0x22398628\0xC5C07009\0x9583E105,33210,False,,,,,133,
607,root\content\release64\dlc\0x22398628\0xC5C07009\0x96FFEC75,16586,False,,,,,167,u16be:1194:1;u16le:1194:1
608,root\content\release64\dlc\0x22398628\0xC5C07009\0x9DACECF4,16067,False,,,,,178,u16be:1193:1;u16le:1193:1
609,root\content\release64\dlc\0x22398628\0xC5C07009\0x9E4346F9,18305,True,2,zstd,45056,,208,
610,root\content\release64\dlc\0x22398628\0xC5C07009\0x9FC99CE5,24244,True,2,zstd,61440,,596,u16be:1193:2;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT
611,root\content\release64\dlc\0x22398628\0xC5C07009\0xA9760E05,16107,False,,,,,89,
612,root\content\release64\dlc\0x22398628\0xC5C07009\0xB7D40FE8,14738,False,,,,,79,
613,root\content\release64\dlc\0x22398628\0xC5C07009\0xC21B777E,4549,True,2,zstd,20480,,87,
614,root\content\release64\dlc\0x22398628\0xC5C07009\0xCD53B776,17759,True,2,zstd,40960,,250,
615,root\content\release64\dlc\0x22398628\0xC5C07009\0xCF174471,26164,False,,,,,108,
616,root\content\release64\dlc\0x22398628\0xC5C07009\0xD1830602,23287,False,,,,,120,
617,root\content\release64\dlc\0x22398628\0xC5C07009\0xD3ABE0A7,15645,True,2,zstd,36864,,256,
618,root\content\release64\dlc\0x22398628\0xC5C07009\0xE3A1A462,22492,False,,,,,182,u16le:1194:1
619,root\content\release64\dlc\0x22398628\0xC5C07009\0xE4EF64C6,24004,True,2,zstd,61440,,253,
620,root\content\release64\dlc\0x22398628\0xC5C07009\0xE5F1F21D,19988,False,,,,,163,u16be:1193:1
621,root\content\release64\dlc\0x22398628\0xC5C07009\0xE69DB7C3,18195,True,2,zstd,40960,,215,
622,root\content\release64\dlc\0x22398628\0xC5C07009\0xED0DB344,14275,True,2,zstd,36864,,318,u16be:1194:1
623,root\content\release64\dlc\0x22398628\0xC5C07009\0xF086CA3B,15525,False,,,,,120,u16le:1194:1
624,root\content\release64\dlc\0x22398628\0xC5C07009\0xF3E85651,15800,True,2,zstd,36864,,293,
625,root\content\release64\dlc\0x22398628\0xC5C07009\0xF71BCE61,38111,False,,,,,182,
626,root\content\release64\dlc\0x22398628\0xC5C07009\0xF867511B,16382,False,,,,,254,u16be:1194:3;u16le:1193:2
627,root\content\release64\dlc\0x22398628\0xC5C07009\0xFB03C59C,4621,False,,,,,119,u16be:1194:1
629,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x00F29942,14166,True,2,zstd,36864,,315,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT
630,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x086B176A,6474,True,2,zstd,20480,,153,
631,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x09847B33,10469,True,2,zstd,24576,,281,u16be:1193:1
632,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x14D90706,13554,False,,,,,164,u16le:1194:1
633,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x155D9E52,10740,False,,,,,56,
634,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x1A42C07E,7005,True,2,zstd,20480,,159,
635,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x1E87E30D,8636,True,2,zstd,20480,,201,
636,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x27ED8892,6936,True,2,zstd,20480,,159,
637,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x32F9A564,8280,True,2,zstd,20480,,223,u16be:1194:2
638,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x39FF38DF,8465,False,,,,,54,
639,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x4C96E431,14748,False,,,,,95,
640,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x592BCA6F,8895,True,2,zstd,20480,,186,
641,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x82364299,7118,False,,,,,87,u16be:1194:1
642,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x834F6A79,8837,False,,,,,33,
643,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x88853E21,9091,False,,,,,37,
644,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x94045A94,15178,True,2,zstd,36864,,354,u16be:1194:2
645,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0x9956B90A,6989,True,2,zstd,20480,,153,
646,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xB1B5CC0E,6843,False,,,,,30,
647,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xB31FF779,9083,True,2,zstd,20480,,255,
648,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xB4365063,18327,True,2,zstd,53248,,578,u16be:1193:41
649,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xB66594AE,7167,False,,,,,32,
650,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xC367627A,7212,False,,,,,105,u16be:1193:1
651,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xC6040B5A,9286,False,,,,,40,
652,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xD4EB38B1,6954,True,2,zstd,20480,,156,
653,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xE609BF51,7101,False,,,,,25,
654,root\content\release64\dlc\0x22398628\0xD42AEB21\0x3E44440D\0xE8511D65,6606,False,,,,,34,
