index,path,name,size,resource_type,resource_type_hint,score,reasons,decoded_size,decode_error
672,root\content\release64\dlc\0x22398628\0xDCF649E3\0x988DE351\0xB0D34864,0xB0D34864,45185,2,.wsc/.csc script,546,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,114688,
274,root\content\release64\main.wsc,main.wsc,85612,2,.wsc/.csc script,545,,233472,
263,root\content\release64\main_z.wsc,main_z.wsc,73958,2,.wsc/.csc script,544,,200704,
261,root\content\release64\sp_idle.wsc,sp_idle.wsc,28401,2,.wsc/.csc script,539,u16be:1194:1,69632,
729,root\content\release64\dlc\0x22398628\frontier\0xFCCF2B76\0x3E6DF577\0x8938AA60,0x8938AA60,34607,2,.wsc/.csc script,535,u16be:1193:1;u16le:1194:1,94208,
1408,root\content\release64\0x96E04D47\0x2656C96A\0x4D1495BA,0x4D1495BA,33567,2,.wsc/.csc script,535,,94208,
1491,root\content\release64\0xC06BF8AB\0x4D9EA409\0xC434CF91,0xC434CF91,51387,2,.wsc/.csc script,535,u16be:1193:2,139264,
449,root\content\release64\dlc\0x22398628\mexico\0xD8416B09\0xC5F5E231\0x4A3B3417,0x4A3B3417,33146,2,.wsc/.csc script,533,u16be:1194:41;u16be:1193:2,94208,
1371,root\content\release64\0x93896EB6\0xC0B40CB5\0x88919E10,0x88919E10,38713,2,.wsc/.csc script,533,,94208,
1626,root\content\release64\frontier\0xDCF649E3\0xA898F2DB\0x5F20B034,0x5F20B034,49612,2,.wsc/.csc script,531,,122880,
424,root\content\release64\dlc\0x22398628\mexico\0xB1531168\0xCABD217C\0x790698B0,0x790698B0,39046,2,.wsc/.csc script,529,u16be:1193:2;u16be:1194:1,102400,
685,root\content\release64\dlc\0x22398628\frontier\0x2BE0ECA6\0x3795066A\0x9748BBB7,0x9748BBB7,39104,2,.wsc/.csc script,526,u16be:1193:2;u16be:1194:1,102400,
668,root\content\release64\dlc\0x22398628\0xDCF649E3\0x3EBF2FB1\0xEDA5CCCB,0xEDA5CCCB,59831,2,.wsc/.csc script,524,,159744,
268,root\content\release64\0x5E3D24FC,0x5E3D24FC,72767,,,521,u16le:1194:1;u16le:1193:1,,
1619,root\content\release64\frontier\0xDCF649E3\0x50A2B588\0x870914D9,0x870914D9,47663,2,.wsc/.csc script,521,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,122880,
1409,root\content\release64\0x96E04D47\0x31E59F88\0x832DAF70,0x832DAF70,33228,2,.wsc/.csc script,520,u16be:1194:1,90112,
988,root\content\release64\scripting\gringo\0xB834ADD2\0x782F112B,0x782F112B,12733,2,.wsc/.csc script,519,path:gringo;u16be:1193:26,36864,
1205,root\content\release64\mexico\0xDCF649E3\0x0D97A93E\0x78F9C2E5,0x78F9C2E5,64272,2,.wsc/.csc script,513,,167936,
791,root\content\release64\0x1230F707\0x318C70F9,0x318C70F9,99642,2,.wsc/.csc script,509,u16be:1194:2;u16be:1193:2,913408,
1384,root\content\release64\0x93896EB6\0xE545AD6D\0x5D871DF4,0x5D871DF4,20137,2,.wsc/.csc script,509,u16be:1193:1;u16be:1194:5,53248,
726,root\content\release64\dlc\0x22398628\frontier\0xFCCF2B76\0x12480F65\0x1FF2027B,0x1FF2027B,33147,2,.wsc/.csc script,499,u16be:1194:13;u16be:1193:1,94208,
1412,root\content\release64\0x96E04D47\0x75446997\0x18B8AB56,0x18B8AB56,35519,2,.wsc/.csc script,497,u16be:1194:2,118784,
852,root\content\release64\scripting\designerdefined\0x0054CA13,0x0054CA13,43263,2,.wsc/.csc script,495,u16be:1193:1,143360,
408,root\content\release64\dlc\0x22398628\0x6193D61F\0xBBE2AE16,0xBBE2AE16,44115,2,.wsc/.csc script,494,,106496,
1654,root\content\release64\frontier\gaptooth_ridge\0xA51AF855\0x7F22BD3F,0x7F22BD3F,32667,2,.wsc/.csc script,488,u16be:1194:1,94208,
1021,root\content\release64\scripting\gringo\0xB834ADD2\0xAA514E33,0xAA514E33,9119,2,.wsc/.csc script,487,path:gringo;u16be:1194:9;u16le:1194:1,20480,
1204,root\content\release64\mexico\0xDCF649E3\0x0876851D\0xB10703B2,0xB10703B2,51838,2,.wsc/.csc script,487,,143360,
1541,root\content\release64\frontier\0x2BE0ECA6\0xE5F2D605\0x00A5333E,0x00A5333E,34360,2,.wsc/.csc script,481,,94208,
1413,root\content\release64\0x96E04D47\0x87F6A359\0x069EDAF3,0x069EDAF3,29870,2,.wsc/.csc script,480,,86016,
1436,root\content\release64\0xC06BF8AB\0x18DF302B\0x227427A2\0x92113073,0x92113073,42612,2,.wsc/.csc script,480,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,106496,
926,root\content\release64\scripting\gringo\0xB834ADD2\0x34D69767,0x34D69767,14893,2,.wsc/.csc script,478,path:gringo;u16be:1193:4;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,36864,
1355,root\content\release64\0x93896EB6\0x9156BC25\0x3BF3DB0E,0x3BF3DB0E,23277,2,.wsc/.csc script,478,u16be:1193:2;u16be:1194:2,57344,
559,root\content\release64\dlc\0x22398628\0x93896EB6\0x9C250044\0x1DC57A2D,0x1DC57A2D,20112,2,.wsc/.csc script,477,u16be:1194:3;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,53248,
1622,root\content\release64\frontier\0xDCF649E3\0x7BE15AF8\0x37476C17,0x37476C17,58756,2,.wsc/.csc script,477,,167936,
915,root\content\release64\scripting\gringo\0xB834ADD2\0x2C639920,0x2C639920,14628,2,.wsc/.csc script,475,path:gringo;u16be:1193:4;u16be:1194:1;hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,36864,
1644,root\content\release64\frontier\gaptooth_ridge\rathskeller_fork\0xE90C6E62,0xE90C6E62,16469,2,.wsc/.csc script,473,u16be:1193:27;u16be:1194:1,61440,
687,root\content\release64\dlc\0x22398628\frontier\0x2BE0ECA6\0x817F8050\0xEC1417C5,0xEC1417C5,41986,2,.wsc/.csc script,472,u16be:1193:2,106496,
861,root\content\release64\scripting\designerdefined\0xC79B79A7,0xC79B79A7,34839,2,.wsc/.csc script,470,hash:ENABLE_VEHICLE_SEAT;hash:ENABLE_VEHICLE_SEAT,102400,
