"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\dlc\zombiepack\mexico\diez_coronas\el_matadero_town\elmataderotown_z","True","True","29532","31542","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\diez_coronas\el_presidio\elpresidio_z","True","True","34577","37408","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\diez_coronas\torquemada\torquemada_z","True","True","29549","31616","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\perdido\agave_viejo\agaveviejo_z","True","True","28182","30040","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\perdido\chuparosa\chuparosa_z","True","True","34240","37033","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\perdido\las_hermanas\lashermanas_z","True","True","30823","33011","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\perdido\perdido_z","True","True","18627","20349","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\perdido\sepulcro\sepulcro_z","True","True","39046","42185","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\punta_orgullo\escalera\escalera_z","True","True","33146","35666","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\punta_orgullo\nosalida\nosalida_z","True","True","27219","28963","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\punta_orgullo\puntaorgullo_z","True","True","16147","17416","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\mexico\punta_orgullo\tesoro_azul\tesoroazul_z","True","True","27189","28956","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\missingpersons\event_bountyhunter_z","True","True","44115","47385","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\missingpersons\event_wanted_poster_z","True","True","8852","9216","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
