offset,offset_hex,length,text,population_term,string_class
80575,0x13ABF,4,",D9b",,unknown
80584,0x13AC8,5,",D9%c",,debug/display text
80590,0x13ACE,4,",D9O",,unknown
80598,0x13AD6,4,",D:b",,unknown
80607,0x13ADF,5,",D9%A",,debug/display text
80613,0x13AE5,5,",D9%B",,debug/display text
80619,0x13AEB,5,",D9%C",,debug/display text
80625,0x13AF1,5,",D9%1",,debug/display text
80631,0x13AF7,4,",D9A",,unknown
80638,0x13AFE,4,",D9A",,unknown
80645,0x13B05,4,",D9A",,unknown
80652,0x13B0C,5,",D9%f",,debug/display text
80658,0x13B12,5,",D9%c",,debug/display text
80664,0x13B18,4,",D9O",,unknown
80672,0x13B20,4,",D:b",,unknown
80698,0x13B3A,58,?o8STAT_SET_VALUE: Attempting to use a Stat out of bounds.,,debug/display text
80790,0x13B96,69,oDSTAT_SET_STRING_VALUE: You cannot set a string value for this STAT:,,debug/display text
80876,0x13BEC,69,oDSTAT_SET_STRING_VALUE: You cannot set a string value for this STAT.,,debug/display text
80987,0x13C5B,5,= r o,,debug/display text
80993,0x13C61,4,QME=,,unknown
81127,0x13CE7,107,ojSTAT_FIND_FIRST_EMPTY_SLOT_ON_STACK: too many synchronous Stat Updates! Dropping the oldest in the buffer,,debug/display text
