string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
58221,0xE36D,rsdTRAIL_cas_ram_pathdetachedCurve2,unknown,58219,0xE36B,226,Function_226,0xBCEF..0xF16F
58267,0xE39B,rsdTRAIL_cas_ram_pathdetachedCurve4detachedCurve2,unknown,58265,0xE399,226,Function_226,0xBCEF..0xF16F
58327,0xE3D7,rsdROAD_las_roaddetachedCurve4,unknown,58325,0xE3D5,226,Function_226,0xBCEF..0xF16F
58368,0xE400,rsdROAD_las_roaddetachedCurve2,unknown,58366,0xE3FE,226,Function_226,0xBCEF..0xF16F
58409,0xE429,rsdROAD_curve69,unknown,58407,0xE427,226,Function_226,0xBCEF..0xF16F
58435,0xE443,rsdROAD_las_road,unknown,58433,0xE441,226,Function_226,0xBCEF..0xF16F
58462,0xE45E,rsdROAD_frb_road,unknown,58460,0xE45C,226,Function_226,0xBCEF..0xF16F
58489,0xE479,rsdGPSTRAIL_curve98,unknown,58487,0xE477,226,Function_226,0xBCEF..0xF16F
58519,0xE497,rsdGPSROAD_elm_cas_roaddetachedCurve4detachedCurve2,unknown,58517,0xE495,226,Function_226,0xBCEF..0xF16F
58581,0xE4D5,rsdGPSROAD_elm_cas_roaddetachedCurve4,unknown,58579,0xE4D3,226,Function_226,0xBCEF..0xF16F
58629,0xE505,rsdGPSTRAIL_elm_loop01_pathdetachedCurve2detachedCurve2,unknown,58627,0xE503,226,Function_226,0xBCEF..0xF16F
58695,0xE547,rsdGPSTRAIL_curve634,unknown,58693,0xE545,226,Function_226,0xBCEF..0xF16F
58726,0xE566,rsdGPSTRAIL_curve635,unknown,58724,0xE564,226,Function_226,0xBCEF..0xF16F
58757,0xE585,rsdGPSTRAIL_curve636,unknown,58755,0xE583,226,Function_226,0xBCEF..0xF16F
58788,0xE5A4,rsdTRAIL_curve637,unknown,58786,0xE5A2,226,Function_226,0xBCEF..0xF16F
58816,0xE5C0,rsdTRAIL_curve638,unknown,58814,0xE5BE,226,Function_226,0xBCEF..0xF16F
58844,0xE5DC,rsdTRAIL_cas_loop04_pathdetachedCurve2,unknown,58842,0xE5DA,226,Function_226,0xBCEF..0xF16F
58893,0xE60D,rsdTRAIL_curve70,unknown,58891,0xE60B,226,Function_226,0xBCEF..0xF16F
58920,0xE628,rsdTRAIL_cas_loop04_path,unknown,58918,0xE626,226,Function_226,0xBCEF..0xF16F
58955,0xE64B,rsdTRAIL_cas_loop05_pathdetachedCurve4,unknown,58953,0xE649,226,Function_226,0xBCEF..0xF16F
59004,0xE67C,rsdTRAIL_cas_loop05_pathdetachedCurve2,unknown,59002,0xE67A,226,Function_226,0xBCEF..0xF16F
59053,0xE6AD,rsdTRAIL_cas_loop01_pathdetachedCurve2detachedCurve2,unknown,59051,0xE6AB,226,Function_226,0xBCEF..0xF16F
59116,0xE6EC,rsdTRAIL_chu_loop01_pathdetachedCurve2detachedCurve2detachedCurve2detachedCurve2,unknown,59114,0xE6EA,226,Function_226,0xBCEF..0xF16F
59207,0xE747,rsdTRAIL_chu_loop01_pathdetachedCurve2detachedCurve2detachedCurve2,unknown,59205,0xE745,226,Function_226,0xBCEF..0xF16F
59284,0xE794,rsdTRAIL_chu_loop01_pathdetachedCurve2detachedCurve2,unknown,59282,0xE792,226,Function_226,0xBCEF..0xF16F
59347,0xE7D3,rsdTRAIL_chu_loop01_pathdetachedCurve2,unknown,59345,0xE7D1,226,Function_226,0xBCEF..0xF16F
59396,0xE804,rsdTRAIL_chu_loop01_pathdetachedCurve4,unknown,59394,0xE802,226,Function_226,0xBCEF..0xF16F
59445,0xE835,rsdTRAIL_elm_cas_pathdetachedCurve10,unknown,59443,0xE833,226,Function_226,0xBCEF..0xF16F
