offset,offset_hex,length,text,population_term,string_class
31170,0x79C2,5,Ru4Rt,,unknown
31185,0x79D1,4,Rtx8,,unknown
31198,0x79DE,4,R{.9,,unknown
31260,0x7A1C,4,"&""$,",,unknown
31270,0x7A26,4,R}#c,,unknown
31276,0x7A2C,4,%)R{,,debug/display text
31332,0x7A64,4,Rc{j,,unknown
31385,0x7A99,4,RIfj,,unknown
31397,0x7AA5,4,RNyj,,unknown
31426,0x7AC2,4,RNy8,,unknown
31515,0x7B1B,4,Rq;8,,unknown
31669,0x7BB5,83,[oQINVALID HORSE PASSED IN TO GET_MOUNT_INDEX! GIVING AE_RIDEABLE_ANIMAL_MEX_Mule01,,debug/display text
31961,0x7CD9,4,RRT8,,unknown
31973,0x7CE5,4,RRT8,,unknown
31994,0x7CFA,4,RRT8,,unknown
32416,0x7EA0,4,Y% m,,debug/display text
32429,0x7EAD,4,Y%!m,,debug/display text
32441,0x7EB9,4,"Y%""m",,debug/display text
32453,0x7EC5,4,Y%#m,,debug/display text
32465,0x7ED1,4,Y%$m,,debug/display text
32477,0x7EDD,4,Y%%m,,debug/display text
32490,0x7EEA,4,Y%&m,,debug/display text
32502,0x7EF6,4,Y%'m,,debug/display text
32514,0x7F02,4,Y%(m,,debug/display text
32527,0x7F0F,4,Y%)m,,debug/display text
32539,0x7F1B,4,Y%*m,,debug/display text
32551,0x7F27,4,Y%+m,,debug/display text
32564,0x7F34,4,"Y%,m",,debug/display text
32576,0x7F40,4,Y%-m,,debug/display text
32588,0x7F4C,4,Y%.m,,debug/display text
32600,0x7F58,4,Y%/m,,debug/display text
32612,0x7F64,4,Y%0m,,debug/display text
32624,0x7F70,4,Y%1m,,debug/display text
32636,0x7F7C,4,Y%2m,,debug/display text
32690,0x7FB2,6,RIrRcq,,unknown
32704,0x7FC0,5,RcqRb,,unknown
32788,0x8014,12,title_xplvl_,,unknown
32811,0x802B,10,title_amb_,,unknown
32832,0x8040,11,title_weap_,,unknown
32854,0x8056,10,title_pvp_,,unknown
32875,0x806B,11,title_stat_,,unknown
33617,0x8351,4,RRT9,,unknown
33722,0x83BA,25,SaveGame_DoNotInterruptMe,,unknown
33758,0x83DE,8,SaveLoad,,unknown
33769,0x83E9,23,Multiplayer Save Called,,debug/display text
33827,0x8423,21,net.HardSaveRequested,,unknown
33858,0x8442,11,RDR_MP_Save,,unknown
33995,0x84CB,7,u? PqMO,,debug/display text
34006,0x84D6,5,PqMRY,,unknown
34074,0x851A,4,RP&%,,debug/display text
34108,0x853C,4,p4LC,,unknown
34118,0x8546,4,p4LC,,unknown
34129,0x8551,4,p4LC,,unknown
34156,0x856C,4,p4LD,,unknown
34167,0x8577,4,p4LD,,unknown
34178,0x8582,4,p4LD,,unknown
34212,0x85A4,4,p4LD,,unknown
34223,0x85AF,4,p4LD,,unknown
34234,0x85BA,4,p4LD,,unknown
34251,0x85CB,4,p4LD,,unknown
34262,0x85D6,4,p4LD,,unknown
34273,0x85E1,4,p4LD,,unknown
36191,0x8D5F,7,'ABC%DR,,debug/display text
36223,0x8D7F,7,'EFG%HR,,debug/display text
36256,0x8DA0,7,'IJK%LR,,debug/display text
36287,0x8DBF,4,'MNO,,unknown
36317,0x8DDD,4,'PQR,,unknown
36347,0x8DFB,4,'STU,,unknown
