string_offset,string_offset_hex,string_text,string_class,reference_instruction_offset,reference_instruction_offset_hex,owner_function_index,owner_function,owner_function_offset_range
87400,0x15568,merchant1_OBJ,unknown,87398,0x15566,314,Function_314,0x14E62..0x15783
87432,0x15588,Merchant_2_MoreSage,unknown,87430,0x15586,314,Function_314,0x14E62..0x15783
87470,0x155AE,,unknown,87468,0x155AC,314,Function_314,0x14E62..0x15783
87494,0x155C6,Merchant_2_MoreSage,unknown,87492,0x155C4,314,Function_314,0x14E62..0x15783
87531,0x155EB,Merchant_2_MoreSnowdrop,unknown,87529,0x155E9,314,Function_314,0x14E62..0x15783
87573,0x15615,,unknown,87571,0x15613,314,Function_314,0x14E62..0x15783
87597,0x1562D,Merchant_2_MoreSnowdrop,unknown,87595,0x1562B,314,Function_314,0x14E62..0x15783
87658,0x1566A,ZOMBIE_STORY_2_ReturnNigel,unknown,87656,0x15668,314,Function_314,0x14E62..0x15783
87703,0x15697,merchant1_OBJ,unknown,87701,0x15695,314,Function_314,0x14E62..0x15783
87742,0x156BE,merchant1_OBJ,unknown,87740,0x156BC,314,Function_314,0x14E62..0x15783
87773,0x156DD,ZOMBIE_STORY_2_ReturnNigel,unknown,87771,0x156DB,314,Function_314,0x14E62..0x15783
87817,0x15709,merchant2_OBJ,unknown,87815,0x15707,314,Function_314,0x14E62..0x15783
87857,0x15731,merchant2_OBJ,unknown,87855,0x1572F,314,Function_314,0x14E62..0x15783
87888,0x15750,merchant3_OBJ,unknown,87886,0x1574E,314,Function_314,0x14E62..0x15783
88136,0x15848,ZOMBIE_STORY,unknown,88134,0x15846,318,Function_318,0x15841..0x15856
88169,0x15869,HAS_GRAVEYARD_EVER_BEEN_COMPLETED: iDeedIndex is out of range!,debug/display text,88167,0x15867,319,Function_319,0x15856..0x158BC
88271,0x158CF,"HAS_GRAVEYARD_EVER_BEEN_COMPLETED: iDeedIndex is out of range, returning gHideoutTwinRocks!",debug/display text,88269,0x158CD,320,Function_320,0x158BC..0x1597E
88470,0x15996,Mission_Strangers,likely logic anchor,88468,0x15994,321,Function_321,0x1597E..0x159C7
88589,0x15A0D,IsFadedIn,unknown,88587,0x15A0B,323,Function_323,0x159EF..0x15A91
88629,0x15A35,IsFadedIn,unknown,88627,0x15A33,323,Function_323,0x159EF..0x15A91
88669,0x15A5D,IsFadedIn,unknown,88667,0x15A5B,323,Function_323,0x159EF..0x15A91
88703,0x15A7F,IsFadedIn,unknown,88701,0x15A7D,323,Function_323,0x159EF..0x15A91
88765,0x15ABD,Restoring weapon: ,debug/display text,88763,0x15ABB,324,Function_324,0x15A91..0x15AE2
89045,0x15BD5,ITEM_GET_STRING_FROM_ENUM: Missing eSTRING_TYPE_ITEM_NAMES for this eItemsTypes value:,debug/display text,89043,0x15BD3,326,Function_326,0x15BBB..0x15CAF
89145,0x15C39,ITEM_GET_STRING_FROM_ENUM: Missing eSTRING_TYPE_ITEM_NAMES for this eItemsTypes value! Ask Christian to add it,debug/display text,89143,0x15C37,326,Function_326,0x15BBB..0x15CAF
89270,0x15CB6,Locking advanced weapons...,debug/display text,89268,0x15CB4,327,Function_327,0x15CAF..0x15D9D
89508,0x15DA4,RIFLE_Antitank,unknown,89506,0x15DA2,328,Function_328,0x15D9D..0x16108
89553,0x15DD1,rifle_buffalo01x,unknown,89551,0x15DCF,328,Function_328,0x15D9D..0x16108
