offset,offset_hex,length,text,population_term,string_class
167609,0x28EB9,12,beh_grave02x,,unknown
167627,0x28ECB,12,beh_grave03x,,unknown
167648,0x28EE0,24,rsdGPSTRAIL_elm_cas_path,,unknown
167683,0x28F03,20,rsdGPSTRAIL_curve495,,unknown
167711,0x28F1F,42,+o(rsdGPSTRAIL_elm_cas_pathdetachedCurve12,,unknown
167761,0x28F51,42,+o(rsdGPSTRAIL_elm_cas_pathdetachedCurve13,,unknown
167814,0x28F86,25,rsdGPSTRAIL_elm_cas_loop1,,unknown
167847,0x28FA7,39,+o%rsdTRAIL_cas_ram_pathdetachedCurve10,,debug/display text
167894,0x28FD6,38,+o$rsdTRAIL_cas_ram_pathdetachedCurve8,,unknown
167940,0x29004,38,+o$rsdTRAIL_cas_ram_pathdetachedCurve6,,unknown
167986,0x29032,38,+o$rsdTRAIL_las_nos_pathdetachedCurve2,,unknown
168032,0x29060,52,+o2rsdROAD_las_esc_roaddetachedCurve10detachedCurve1,,unknown
168095,0x2909F,16,rsdTRAIL_curve44,,unknown
168119,0x290B7,38,+o$rsdROAD_las_esc_roaddetachedCurve18,,unknown
168165,0x290E5,38,+o$rsdTRAIL_cas_ram_pathdetachedCurve2,,unknown
168211,0x29113,52,+o2rsdTRAIL_cas_ram_pathdetachedCurve4detachedCurve2,,unknown
168274,0x29152,30,rsdROAD_las_roaddetachedCurve4,,unknown
168315,0x2917B,30,rsdROAD_las_roaddetachedCurve2,,unknown
168356,0x291A4,15,rsdROAD_curve69,,unknown
168382,0x291BE,16,rsdROAD_las_road,,unknown
168409,0x291D9,16,rsdROAD_frb_road,,unknown
168436,0x291F4,19,rsdGPSTRAIL_curve98,,unknown
168463,0x2920F,54,+o4rsdGPSROAD_elm_cas_roaddetachedCurve4detachedCurve2,,unknown
168525,0x2924D,40,+o&rsdGPSROAD_elm_cas_roaddetachedCurve4,,unknown
168573,0x2927D,58,+o8rsdGPSTRAIL_elm_loop01_pathdetachedCurve2detachedCurve2,,unknown
168642,0x292C2,20,rsdGPSTRAIL_curve634,,unknown
168673,0x292E1,20,rsdGPSTRAIL_curve635,,unknown
168704,0x29300,20,rsdGPSTRAIL_curve636,,unknown
168735,0x2931F,17,rsdTRAIL_curve637,,unknown
168763,0x2933B,17,rsdTRAIL_curve638,,unknown
168788,0x29354,41,+o'rsdTRAIL_cas_loop04_pathdetachedCurve2,,unknown
168840,0x29388,16,rsdTRAIL_curve70,,unknown
168867,0x293A3,24,rsdTRAIL_cas_loop04_path,,unknown
168899,0x293C3,41,+o'rsdTRAIL_cas_loop05_pathdetachedCurve4,,unknown
168948,0x293F4,41,+o'rsdTRAIL_cas_loop05_pathdetachedCurve2,,unknown
168997,0x29425,55,+o5rsdTRAIL_cas_loop01_pathdetachedCurve2detachedCurve2,,unknown
169060,0x29464,83,+oQrsdTRAIL_chu_loop01_pathdetachedCurve2detachedCurve2detachedCurve2detachedCurve2,,unknown
169151,0x294BF,69,+oCrsdTRAIL_chu_loop01_pathdetachedCurve2detachedCurve2detachedCurve2,,unknown
